CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,COMPONENTE,H15,REGION,MAS_500,AGLOMERADO,PONDERA,CH03,CH04,CH05,CH06,CH07,CH08,CH09,CH10,CH11,CH12,CH13,CH14,CH15,CH15_COD,CH16,CH16_COD,NIVEL_ED,ESTADO,CAT_OCUP,CAT_INAC,IMPUTA,PP02C1,PP02C2,PP02C3,PP02C4,PP02C5,PP02C6,PP02C7,PP02C8,PP02E,PP02H,PP02I,PP03C,PP03D,PP3E_TOT,PP3F_TOT,PP03G,PP03H,PP03I,PP03J,INTENSI,PP04A,PP04B_COD,PP04B1,PP04B2,PP04B3_MES,PP04B3_ANO,PP04B3_DIA,PP04C,PP04C99,PP04D_COD,PP04G,PP05B2_MES,PP05B2_ANO,PP05B2_DIA,PP05C_1,PP05C_2,PP05C_3,PP05E,PP05F,PP05H,PP06A,PP06C,PP06D,PP06E,PP06H,PP07A,PP07C,PP07D,PP07E,PP07F1,PP07F2,PP07F3,PP07F4,PP07F5,PP07G1,PP07G2,PP07G3,PP07G4,PP07G_59,PP07H,PP07I,PP07J,PP07K,PP08D1,PP08D4,PP08F1,PP08F2,PP08J1,PP08J2,PP08J3,PP09A,PP09A_ESP,PP09B,PP09C,PP09C_ESP,PP10A,PP10C,PP10D,PP10E,PP11A,PP11B_COD,PP11B1,PP11B2_MES,PP11B2_ANO,PP11B2_DIA,PP11C,PP11C99,PP11D_COD,PP11G_ANO,PP11G_MES,PP11G_DIA,PP11L,PP11L1,PP11M,PP11N,PP11O,PP11P,PP11Q,PP11R,PP11S,PP11T,P21,DECOCUR,IDECOCUR,RDECOCUR,GDECOCUR,PDECOCUR,ADECOCUR,PONDIIO,TOT_P12,P47T,DECINDR,IDECINDR,RDECINDR,GDECINDR,PDECINDR,ADECINDR,PONDII,V2_M,V3_M,V4_M,V5_M,V8_M,V9_M,V10_M,V11_M,V12_M,V18_M,V19_AM,V21_M,T_VI,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH
TQRMNOPUUHJKLQCDEIIAD00793187,2023,4,1,1,2,1,S,32,609,1,1,1958-10-02 00:00:00,65,1,4,1,2,0,4,1,,4,202.0,1,,4,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,609,0,,13,,13,13,,13,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOPUUHJKLQCDEIIAD00793187,2023,4,1,2,1,1,S,32,609,2,2,1900-01-01 00:00:00,66,1,4,1,2,0,4,1,,4,202.0,1,,4,3,0,4,1.0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,609,0,0.0,0,,0,0,,0,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOPRWHKMLMCDEIJAH00794278,2023,4,1,3,1,1,S,33,2254,3,2,1900-01-01 00:00:00,26,1,1,1,1,1,7,2,2.0,1,,1,,5,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,48.0,0.0,2.0,0.0,2.0,2.0,3.0,2.0,4803.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,30333.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,4,,4,4,,4,3101,0,150000.0,5,,4,4,,5,3223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOPRWHKMLMCDEIJAH00794278,2023,4,1,4,1,1,S,33,2254,4,1,1996-06-06 00:00:00,27,1,4,1,2,0,6,1,,3,18.0,1,,6,1,2,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,42.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,9602.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,58113.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,7.0,5.0,1.0,0.0,200000.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000,6,,5,6,,6,4004,0,200000.0,6,,6,6,,6,3938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOTPQHLMRRCDEIJAH00854985,2023,4,1,1,1,1,S,33,1528,1,2,1955-04-01 00:00:00,67,4,1,1,2,0,7,1,,1,,1,,6,3,0,1,,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,1528,0,130000.0,4,,4,4,,4,1685,130000,0,0,0,0,0,0,0,0,0,0,0,130000,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOPQPHLNTPCDEIJAH00854983,2023,4,1,1,1,1,S,33,272,1,1,1976-09-06 00:00:00,47,2,1,1,2,0,4,2,1.0,1,,1,,3,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,45.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,5601.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,53313.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,340000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,340000,8,,8,8,,8,380,0,340000.0,8,,8,8,,9,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOPQPHLNTPCDEIJAH00854983,2023,4,1,2,1,1,S,33,272,2,2,1980-03-31 00:00:00,43,2,1,1,1,1,6,2,1.0,3,54.0,1,,5,3,0,3,,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,272,0,0.0,0,,0,0,,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOPQPHLNTPCDEIJAH00854983,2023,4,1,4,0,1,S,33,272,3,2,2015-06-08 00:00:00,8,5,1,1,1,2,2,2,1.0,1,,1,,1,4,0,3,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,272,0,0.0,0,,0,0,,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOTVUHJNKUCDEIIAD00801858,2023,4,1,1,1,1,S,32,89,1,1,1962-01-18 00:00:00,62,2,1,1,2,0,7,1,,1,,1,,6,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,55.0,0.0,2.0,0.0,2.0,2.0,3.0,2.0,4803.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,6001.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400000,10,,10,10,,10,123,0,1400000.0,10,,10,10,,10,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOPSRHMLLLCDEIJAH00812214,2023,4,1,2,1,1,S,33,2514,2,2,1980-02-09 00:00:00,43,2,1,1,2,0,6,1,,1,,1,,6,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,16.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,8501.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,41332.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,350000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000,8,,8,8,,9,3496,0,350000.0,9,,8,8,,9,3581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
